lol ;)	laugh out loud laugh out loud	2	-1	 lol[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
This line does not affect mongodb parameters in Debian.Admin should create /etc/default/mongo or hotfix start/stop script.	This line does not affect mongodb parameters in Debian.<br>Admin should create /etc/default/mongo or hotfix start/stop script.	1	-1	 This[0] line[0] does[0] not[0] affect[0] mongodb[0] parameters[0] in[0] Debian[0] [[Sentence=-1,1=word max, 1-5]] Admin[0] should[0] create[0] /etc/default/mongo[0] or[0] hotfix[0] start/stop[0] script[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
The same as dbpath — does not affect mongodb parameters in Debian.Admin should create /etc/default/mongo or hotfix start/stop script.	The same as dbpath — does not affect mongodb parameters in Debian.<br>Admin should create /etc/default/mongo or hotfix start/stop script.	1	-1	 The[0] same[0] as[0] dbpath[0] —[0] does[0] not[0] affect[0] mongodb[0] parameters[0] in[0] Debian[0] [[Sentence=-1,1=word max, 1-5]] Admin[0] should[0] create[0] /etc/default/mongo[0] or[0] hotfix[0] start/stop[0] script[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
This loop only iterates twice but the sleep time is one-third, thus only sleeping two-thirds all together. Is this intended?	This loop only iterates twice but the sleep time is one-third, thus only sleeping two-thirds all together.<br> Is this intended?	1	-1	 This[0] loop[0] only[0] iterates[0] twice[0] but[0] the[0] sleep[0] time[0] is[0] one[0] third[0] thus[0] only[0] sleeping[0] two[0] thirds[0] all[0] together[0] [[Sentence=-1,1=word max, 1-5]] Is[0] this[0] intended[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
It seems odd to me to have non deterministic tests.This code seems like it could lead to a test failing one time and succeeding when you try it again.	It seems odd to me to have non deterministic tests.<br>This code seems like it could lead to a test failing one time and succeeding when you try it again.	3	-3	 It[0] seems[0] odd[0] to[0] me[0] to[0] have[0] non[0] deterministic[0] tests[0] [[Sentence=-1,1=word max, 1-5]] This[0] code[0] seems[0] like[1] it[0] could[0] lead[0] to[0] a[0] test[0] failing[-2] one[0] time[0] and[0] succeeding[2] when[0] you[0] try[0] it[0] again[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
I agree!Just added https://github.com/mongodb/mongo/commit/1450e4ccdf72c77f9e5b8d037bcaff732d863ab3 to remove the non-determinism.	I agree!<br>Just added https://github.<br>com/mongodb/mongo/commit/1450e4ccdf72c77f9e5b8d037bcaff732d863ab3 to remove the non-determinism.	1	-1	 I[0] agree[0] [[Sentence=-1,1=word max, 1-5]] Just[0] added[0] https[0] ://github[0] [[Sentence=-1,1=word max, 1-5]] com/mongodb/mongo/commit/1450e4ccdf72c77f9e5b8d037bcaff732d863ab3[0] to[0] remove[0] the[0] non[0] determinism[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
SERVER-3717 (typo)	SERVER-3717 (typo)	1	-1	 SERVER[0] -3717[0] typo[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
I don't know if it is ok to add comments here, if not I'm sorry and won't do it again.This makes my build fail saying that thread-local is not supported for this target which is true because osx doesn't support __threadAdding !defiled(__MACH\__) makes osx use thread_specific_ptr. I'm using osx Lion and building with no args.Feel free to delete the comment :)	I don't know if it is ok to add comments here, if not I'm sorry and won't do it again.<br>This makes my build fail saying that thread-local is not supported for this target which is true because osx doesn't support __threadAdding !<br>defiled(__MACH\__) makes osx use thread_specific_ptr.<br> I'm using osx Lion and building with no args.<br>Feel free to delete the comment comment	2	-3	 I[0] don't[0] know[0] if[0] it[0] is[0] ok[0] to[0] add[0] comments[0] here[0] if[0] not[0] I'm[0] sorry[-1][NegatedDueToPreviousWord] and[0] won't[0] do[0] it[0] again[0] [[Sentence=-1,2=word max, 1-5]] This[0] makes[0] my[0] build[0] fail[-2] saying[0] that[0] thread[0] local[0] is[0] not[0] supported[1][NegatedDueToPreviousWord] for[0] this[0] target[0] which[0] is[0] true[1] because[0] osx[0] doesn't[0] support[1] __threadAdding[0] [[Sentence=-3,2=word max, 1-5]] defiled[0] (__MACH\__[0] makes[0] osx[0] use[0] thread_specific_ptr[0] [[Sentence=-1,1=word max, 1-5]] I'm[0] using[0] osx[0] Lion[0] and[0] building[0] with[0] no[0] args[0] [[Sentence=-1,1=word max, 1-5]] Feel[0] free[0] to[0] delete[0] the[0] comment[0][+1 Emoticon] [[Sentence=-1,2=word max, 1-5]][[[2,-3 max of sentences]]]
thanks - just pushed an attempted fix.	thanks - just pushed an attempted fix.	2	-1	 thanks[1] just[0] pushed[0] an[0] attempted[0] fix[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i.e. use query option oplog replay which can efficiently find starting position in a very large oplog when querying GTE	i.<br>e.<br> use query option oplog replay which can efficiently find starting position in a very large oplog when querying GTE	1	-1	 i[0] [[Sentence=-1,1=word max, 1-5]] e[0] [[Sentence=-1,1=word max, 1-5]] use[0] query[0] option[0] oplog[0] replay[0] which[0] can[0] efficiently[0] find[0] starting[0] position[0] in[0] a[0] very[0] large[0] oplog[0] when[0] querying[0] GTE[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
I'm not sure if this is necessary. Write locks are greedy so a secondary is more likely to starve reads than the sync thread.To keep replication up-to-date, we really need a way of prioritizing the oplog-reading thread on the primary.	I'm not sure if this is necessary.<br> Write locks are greedy so a secondary is more likely to starve reads than the sync thread.<br>To keep replication up-to-date, we really need a way of prioritizing the oplog-reading thread on the primary.	1	-3	 I'm[0] not[0] sure[0] if[0] this[0] is[0] necessary[0] [[Sentence=-1,1=word max, 1-5]] Write[0] locks[0] are[0] greedy[-2] so[0] a[0] secondary[0] is[0] more[0] likely[0] to[0] starve[-1] reads[0] than[0] the[0] sync[0] thread[0] [[Sentence=-3,1=word max, 1-5]] To[0] keep[0] replication[0] up[0] to[0] date[0] we[0] really[0] need[0] a[0] way[0] of[0] prioritizing[0] the[0] oplog[0] reading[0] thread[0] on[0] the[0] primary[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
Would the try/catch be better in _addWriteBack?	Would the try/catch be better in _addWriteBack?	1	-1	 Would[0] the[0] try/catch[0] be[0] better[0] in[0] _addWriteBack[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
please use real names.Client::GodScope godScope;	please use real names.<br>Client:GodScope godScope;	2	-1	 please[1] use[0] real[0] names[0] [[Sentence=-1,2=word max, 1-5]] Client[0] GodScope[0] godScope[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
see coding styleif () {}else {}	see coding styleif ( {}else {}	1	-1	 see[0] coding[0] styleif[0] {}else[0] {}[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
This is a rather odd decision, but I suppose there are reasons behind them.	This is a rather odd decision, but I suppose there are reasons behind them.	1	-1	 This[0] is[0] a[0] rather[0] odd[0] decision[0] but[0] I[0] suppose[0] there[0] are[0] reasons[0] behind[0] them[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Bad Scott! Bad!	Bad Scott!<br> Bad!	1	-2	 Bad[-1] Scott[0] [[Sentence=-2,1=word max, 1-5]] Bad[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
Should it only do this for a replica set and not Master/Slave?	Should it only do this for a replica set and not Master/Slave?	1	-1	 Should[0] it[0] only[0] do[0] this[0] for[0] a[0] replica[0] set[0] and[0] not[0] Master/Slave[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
test message	test message	1	-1	 test[0] message[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we need to be able to run single files directly - so we need load.js in there	we need to be able to run single files directly - so we need load.<br>js in there	1	-1	 we[0] need[0] to[0] be[0] able[0] to[0] run[0] single[0] files[0] directly[0] so[0] we[0] need[0] load[0] [[Sentence=-1,1=word max, 1-5]] js[0] in[0] there[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Would be great to break this up a bit.Too late now - but there is some refactoring and some real changes.	Would be great to break this up a bit.<br>Too late now - but there is some refactoring and some real changes.	3	-1	 Would[0] be[0] great[2] to[0] break[0] this[0] up[0] a[0] bit[0] [[Sentence=-1,3=word max, 1-5]] Too[0] late[0] now[0] but[0] there[0] is[0] some[0] refactoring[0] and[0] some[0] real[0] changes[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
Shouldn't we also globally replace RS_SHUNNED with RS_REMOVED ?	Shouldn't we also globally replace RS_SHUNNED with RS_REMOVED ?	1	-1	 Shouldn't[0] we[0] also[0] globally[0] replace[0] RS_SHUNNED[0] with[0] RS_REMOVED[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
would be nice to break these up...especially since the bson one is potentially large	would be nice to break these up.<br>especially since the bson one is potentially large	2	-1	 would[0] be[0] nice[1] to[0] break[0] these[0] up[0] [[Sentence=-1,2=word max, 1-5]] especially[0] since[0] the[0] bson[0] one[0] is[0] potentially[0] large[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
Why did you add the copy and assignment ops? I think those are the same as the automatically generated ones.	Why did you add the copy and assignment ops?<br> I think those are the same as the automatically generated ones.	1	-1	 Why[0] did[0] you[0] add[0] the[0] copy[0] and[0] assignment[0] ops[0] [[Sentence=-1,1=word max, 1-5]] I[0] think[0] those[0] are[0] the[0] same[0] as[0] the[0] automatically[0] generated[0] ones[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
I checked in the debugger, and it turns out they're not. It appears to have been doing bitwise copies. I don't understand why the compiler didn't complain about requiring a real copy ctor needing to be defined.  ---   From: Mathias Stearn reply@reply.github.com  To: Chris Westin cwestin@yahoo.com  Sent: Tuesday, February 14, 2012 6:56 PM  Subject: Re: [mongo] first cut at named traces (unused); copy ctor and assignment op for BSONObj (59e9b72)   Why did you add the copy and assignment ops? I think those are the same as the automatically generated ones.  ---   Reply to this email directly or view it on GitHub:  https://github.com/mongodb/mongo/commit/59e9b72297906e68686c1ffeb2244736ecac945b#commitcomment-967692	I checked in the debugger, and it turns out they're not.<br> It appears to have been doing bitwise copies.<br> I don't understand why the compiler didn't complain about requiring a real copy ctor needing to be defined.<br>  -   From: Mathias Stearn reply@reply.<br>github.<br>com  To: Chris Westin cwestin@yahoo.<br>com  Sent: Tuesday, February 14, 2012 6:56 PM  Subject: Re: [mongo] first cut at named traces (unused) copy ctor and assignment op for BSONObj (59e9b72)   Why did you add the copy and assignment ops?<br> I think those are the same as the automatically generated ones.<br>  -   Reply to this email directly or view it on GitHub:  https://github.<br>com/mongodb/mongo/commit/59e9b72297906e68686c1ffeb2244736ecac945b#commitcomment-967692	1	-2	 I[0] checked[0] in[0] the[0] debugger[0] and[0] it[0] turns[0] out[0] they're[0] not[0] [[Sentence=-1,1=word max, 1-5]] It[0] appears[0] to[0] have[0] been[0] doing[0] bitwise[0] copies[0] [[Sentence=-1,1=word max, 1-5]] I[0] don't[0] understand[0] why[0] the[0] compiler[0] didn't[0] complain[-1] about[0] requiring[0] a[0] real[0] copy[0] ctor[0] needing[0] to[0] be[0] defined[0] [[Sentence=-2,1=word max, 1-5]] From[0] Mathias[0] Stearn[0] reply@reply[0] [[Sentence=-1,1=word max, 1-5]] github[0] [[Sentence=-1,1=word max, 1-5]] com[0] To[0] Chris[0] Westin[0] cwestin@yahoo[0] [[Sentence=-1,1=word max, 1-5]] com[0] Sent[0] Tuesday[0] February[0] 14[0] 2012[0] 6[0] :56[0] PM[0] Subject[0] Re[0] [mongo][0] first[0] cut[0] at[0] named[0] traces[0] unused[0] copy[0] ctor[0] and[0] assignment[0] op[0] for[0] BSONObj[0] (59e9b72[0] Why[0] did[0] you[0] add[0] the[0] copy[0] and[0] assignment[0] ops[0] [[Sentence=-1,1=word max, 1-5]] I[0] think[0] those[0] are[0] the[0] same[0] as[0] the[0] automatically[0] generated[0] ones[0] [[Sentence=-1,1=word max, 1-5]] Reply[0] to[0] this[0] email[0] directly[0] or[0] view[0] it[0] on[0] GitHub[0] https[0] ://github[0] [[Sentence=-1,1=word max, 1-5]] com/mongodb/mongo/commit/59e9b72297906e68686c1ffeb2244736ecac945b#commitcomment[0] -967692[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
Things got all piled up while we couldn't push anything.It turns out things were not copying BSONObj correctly before. If it turns out to cause problems, its just a couple of lines to undo it.  ---   From: Eliot reply@reply.github.com  To: Chris Westin cwestin@yahoo.com  Sent: Tuesday, February 14, 2012 6:49 PM  Subject: Re: [mongo] first cut at named traces (unused); copy ctor and assignment op for BSONObj (59e9b72)   would be nice to break these up...  especially since the bson one is potentially large  ---   Reply to this email directly or view it on GitHub:  https://github.com/mongodb/mongo/commit/59e9b72297906e68686c1ffeb2244736ecac945b#commitcomment-967679	Things got all piled up while we couldn't push anything.<br>It turns out things were not copying BSONObj correctly before.<br> If it turns out to cause problems, its just a couple of lines to undo it.<br>  -   From: Eliot reply@reply.<br>github.<br>com  To: Chris Westin cwestin@yahoo.<br>com  Sent: Tuesday, February 14, 2012 6:49 PM  Subject: Re: [mongo] first cut at named traces (unused) copy ctor and assignment op for BSONObj (59e9b72)   would be nice to break these up.<br>  especially since the bson one is potentially large  -   Reply to this email directly or view it on GitHub:  https://github.<br>com/mongodb/mongo/commit/59e9b72297906e68686c1ffeb2244736ecac945b#commitcomment-967679	2	-2	 Things[0] got[0] all[0] piled[0] up[0] while[0] we[0] couldn't[0] push[0] anything[0] [[Sentence=-1,1=word max, 1-5]] It[0] turns[0] out[0] things[0] were[0] not[0] copying[0] BSONObj[0] correctly[0] before[0] [[Sentence=-1,1=word max, 1-5]] If[0] it[0] turns[0] out[0] to[0] cause[0] problems[-1] its[0] just[0] a[0] couple[0] of[0] lines[0] to[0] undo[-1] it[0] [[Sentence=-2,1=word max, 1-5]] From[0] Eliot[0] reply@reply[0] [[Sentence=-1,1=word max, 1-5]] github[0] [[Sentence=-1,1=word max, 1-5]] com[0] To[0] Chris[0] Westin[0] cwestin@yahoo[0] [[Sentence=-1,1=word max, 1-5]] com[0] Sent[0] Tuesday[0] February[0] 14[0] 2012[0] 6[0] :49[0] PM[0] Subject[0] Re[0] [mongo][0] first[0] cut[0] at[0] named[0] traces[0] unused[0] copy[0] ctor[0] and[0] assignment[0] op[0] for[0] BSONObj[0] (59e9b72[0] would[0] be[0] nice[1] to[0] break[0] these[0] up[0] [[Sentence=-1,2=word max, 1-5]] especially[0] since[0] the[0] bson[0] one[0] is[0] potentially[0] large[0] Reply[0] to[0] this[0] email[0] directly[0] or[0] view[0] it[0] on[0] GitHub[0] https[0] ://github[0] [[Sentence=-1,1=word max, 1-5]] com/mongodb/mongo/commit/59e9b72297906e68686c1ffeb2244736ecac945b#commitcomment[0] -967679[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]
i guess that is a good addition anyway in the sense that lock fsync is then better.	i guess that is a good addition anyway in the sense that lock fsync is then better.	2	-1	 i[0] guess[0] that[0] is[0] a[0] good[1] addition[0] anyway[0] in[0] the[0] sense[0] that[0] lock[0] fsync[0] is[0] then[0] better[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
not sure exactly how this has evolved but originally the idea was that with ThreadSpanningOp when you use it, you use it only and it wasn't designed to interoperate with the other Lock:: classes and stuff.thus it didn't set threadstate for example.it is fine if it is different but does this now imply i can use ThreadSpanningOp interoperably with all the other Lock:: classes?i imagine it won't play nicely with them.will read more later.	not sure exactly how this has evolved but originally the idea was that with ThreadSpanningOp when you use it, you use it only and it wasn't designed to interoperate with the other Lock: classes and stuff.<br>thus it didn't set threadstate for example.<br>it is fine if it is different but does this now imply i can use ThreadSpanningOp interoperably with all the other Lock: classes?<br>i imagine it won't play nicely with them.<br>will read more later.	3	-2	 not[0] sure[0] exactly[0] how[0] this[0] has[0] evolved[0] but[0] originally[0] the[0] idea[0] was[0] that[0] with[0] ThreadSpanningOp[0] when[0] you[0] use[0] it[0] you[0] use[0] it[0] only[0] and[0] it[0] wasn't[0] designed[0] to[0] interoperate[0] with[0] the[0] other[0] Lock[0] classes[0] and[0] stuff[0] [[Sentence=-1,1=word max, 1-5]] thus[0] it[0] didn't[0] set[0] threadstate[0] for[0] example[0] [[Sentence=-1,1=word max, 1-5]] it[0] is[0] fine[2] if[0] it[0] is[0] different[0] but[0] does[0] this[0] now[0] imply[0] i[0] can[0] use[0] ThreadSpanningOp[0] interoperably[0] with[0] all[0] the[0] other[0] Lock[0] classes[0] [[Sentence=-1,3=word max, 1-5]] i[0] imagine[0] it[0] won't[0] play[0] nicely[1][NegatedDueToPreviousWord] with[0] them[0] [[Sentence=-2,1=word max, 1-5]] will[0] read[0] more[0] later[0] [[Sentence=-1,1=word max, 1-5]][[[3,-2 max of sentences]]]
Right. That doesn't work becUse other things rely on lock semantics.Seems to be working fine now though.On Mar 17, 2012, at 12:57 PM, Dwight Merrimanreply@reply.github.com wrote:  not sure exactly how this has evolved but originally the idea was that with ThreadSpanningOp when you use it, you use it only and it wasn't designed to interoperate with the other Lock:: classes and stuff.thus it didn't set threadstate for example.it is fine if it is different but does this now imply i can use ThreadSpanningOp interoperably with all the other Lock:: classes?i imagine it won't play nicely with them.will read more later.  ---   Reply to this email directly or view it on GitHub:  https://github.com/mongodb/mongo/commit/c949cad1fa6e4cb26693748b1751f4fd2e6113b8#commitcomment-1098166	Right.<br> That doesn't work becUse other things rely on lock semantics.<br>Seems to be working fine now though.<br>On Mar 17, 2012, at 12:57 PM, Dwight Merrimanreply@reply.<br>github.<br>com wrote:  not sure exactly how this has evolved but originally the idea was that with ThreadSpanningOp when you use it, you use it only and it wasn't designed to interoperate with the other Lock: classes and stuff.<br>thus it didn't set threadstate for example.<br>it is fine if it is different but does this now imply i can use ThreadSpanningOp interoperably with all the other Lock: classes?<br>i imagine it won't play nicely with them.<br>will read more later.<br>  -   Reply to this email directly or view it on GitHub:  https://github.<br>com/mongodb/mongo/commit/c949cad1fa6e4cb26693748b1751f4fd2e6113b8#commitcomment-1098166	3	-2	 Right[0] [[Sentence=-1,1=word max, 1-5]] That[0] doesn't[0] work[0] becUse[0] other[0] things[0] rely[0] on[0] lock[0] semantics[0] [[Sentence=-1,1=word max, 1-5]] Seems[0] to[0] be[0] working[0] fine[2] now[0] though[0] [[Sentence=-1,3=word max, 1-5]] On[0] Mar[-1] 17[0] 2012[0] at[0] 12[0] :57[0] PM[0] Dwight[0] Merrimanreply@reply[1] [[Sentence=-2,2=word max, 1-5]] github[0] [[Sentence=-1,1=word max, 1-5]] com[0] wrote[0] not[0] sure[0] exactly[0] how[0] this[0] has[0] evolved[0] but[0] originally[0] the[0] idea[0] was[0] that[0] with[0] ThreadSpanningOp[0] when[0] you[0] use[0] it[0] you[0] use[0] it[0] only[0] and[0] it[0] wasn't[0] designed[0] to[0] interoperate[0] with[0] the[0] other[0] Lock[0] classes[0] and[0] stuff[0] [[Sentence=-1,1=word max, 1-5]] thus[0] it[0] didn't[0] set[0] threadstate[0] for[0] example[0] [[Sentence=-1,1=word max, 1-5]] it[0] is[0] fine[2] if[0] it[0] is[0] different[0] but[0] does[0] this[0] now[0] imply[0] i[0] can[0] use[0] ThreadSpanningOp[0] interoperably[0] with[0] all[0] the[0] other[0] Lock[0] classes[0] [[Sentence=-1,3=word max, 1-5]] i[0] imagine[0] it[0] won't[0] play[0] nicely[1][NegatedDueToPreviousWord] with[0] them[0] [[Sentence=-2,1=word max, 1-5]] will[0] read[0] more[0] later[0] [[Sentence=-1,1=word max, 1-5]] Reply[0] to[0] this[0] email[0] directly[0] or[0] view[0] it[0] on[0] GitHub[0] https[0] ://github[0] [[Sentence=-1,1=word max, 1-5]] com/mongodb/mongo/commit/c949cad1fa6e4cb26693748b1751f4fd2e6113b8#commitcomment[0] -1098166[0] [[Sentence=-1,1=word max, 1-5]][[[3,-2 max of sentences]]]
The ifdefs need to be changed to make this work on Windows XP.	The ifdefs need to be changed to make this work on Windows XP.	1	-1	 The[0] ifdefs[0] need[0] to[0] be[0] changed[0] to[0] make[0] this[0] work[0] on[0] Windows[0] XP[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
What's the nature of the conflict in the "using boost::shared_ptr" implementation?That fixed the win32 buildbot and is also used in other unit test files.Should those files be changed as well?	What's the nature of the conflict in the "using boost:shared_ptr" implementation?<br>That fixed the win32 buildbot and is also used in other unit test files.<br>Should those files be changed as well?	1	-2	 What's[0] the[0] nature[0] of[0] the[0] conflict[-1] in[0] the[0] using[0] boost[0] shared_ptr[0] implementation[0] [[Sentence=-2,1=word max, 1-5]] That[0] fixed[0] the[0] win32[0] buildbot[0] and[0] is[0] also[0] used[0] in[0] other[0] unit[0] test[0] files[0] [[Sentence=-1,1=word max, 1-5]] Should[0] those[0] files[0] be[0] changed[0] as[0] well[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
It sounds like either method will work right now, but there are some reasons to avoid 'using boost::shared_ptr'.	It sounds like either method will work right now, but there are some reasons to avoid 'using boost:shared_ptr'.	2	-2	 It[0] sounds[0] like[1] either[0] method[0] will[0] work[0] right[0] now[0] but[0] there[0] are[0] some[0] reasons[0] to[0] avoid[-1] 'using[0] boost[0] shared_ptr'[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
Given your use case, scoped_ptr?	Given your use case, scoped_ptr?	1	-1	 Given[0] your[0] use[0] case[0] scoped_ptr[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
This is semantically different then what was there before and not nearly as powerful.The old way with -v you can turn this on at start or runtime.Please change this back and the other one below.	This is semantically different then what was there before and not nearly as powerful.<br>The old way with -v you can turn this on at start or runtime.<br>Please change this back and the other one below.	2	-1	 This[0] is[0] semantically[0] different[0] then[0] what[0] was[0] there[0] before[0] and[0] not[0] nearly[0] as[0] powerful[0] [[Sentence=-1,1=word max, 1-5]] The[0] old[0] way[0] with[0] v[0] you[0] can[0] turn[0] this[0] on[0] at[0] start[0] or[0] runtime[0] [[Sentence=-1,1=word max, 1-5]] Please[1] change[0] this[0] back[0] and[0] the[0] other[0] one[0] below[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
see abovecould make LOG if performance was the concern	see abovecould make LOG if performance was the concern	1	-2	 see[0] abovecould[0] make[0] LOG[0] if[0] performance[0] was[0] the[0] concern[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this should just besleepsecs( runner- config.seconds )	this should just besleepsecs( runner- config.<br>seconds )	1	-1	 this[0] should[0] just[0] besleepsecs[0] runner[0] config[0] [[Sentence=-1,1=word max, 1-5]] seconds[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
would it make any sense to do   if( X.n ) {X.c.notify_one();}   as an optimization?	would it make any sense to do   if( X.<br>n ) {X.<br>c.<br>notify_one();}   as an optimization?	2	-1	 would[0] it[0] make[0] any[0] sense[0] to[0] do[0] if[0] X[1] [[Sentence=-1,2=word max, 1-5]] n[0] {X[0] [[Sentence=-1,1=word max, 1-5]] c[0] [[Sentence=-1,1=word max, 1-5]] notify_one[0] ();}[0] as[0] an[0] optimization[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
It's a bit of a microoptimization, since there's nobody to spuriously wake up when X.n is 0, but it would not be incorrect semantically.	It's a bit of a microoptimization, since there's nobody to spuriously wake up when X.<br>n is 0, but it would not be incorrect semantically.	2	-1	 It's[0] a[0] bit[0] of[0] a[0] microoptimization[0] since[0] there's[0] nobody[0] to[0] spuriously[0] wake[0] up[0] when[0] X[1] [[Sentence=-1,2=word max, 1-5]] n[0] is[0] 0[0] but[0] it[0] would[0] not[0] be[0] incorrect[-1][NegatedDueToPreviousWord] semantically[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i agree if you are sure notify_one() is fast with no waiters.	i agree if you are sure notify_one( is fast with no waiters.	1	-1	 i[0] agree[0] if[0] you[0] are[0] sure[0] notify_one[0] is[0] fast[0] with[0] no[0] waiters[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
This is going to give some pretty inaccurate stats in high-activity systems.We'll just lose a lot of times.At least label it with SERVER-5026.If you're willing to fix it now, so it doesn't underreport times when the system is heavily loaded, I'd implement an AtomicUint64 in bson/util/atomic_int.h, give it an operator  , and be done with it.It'll have the same cache performance problems as this implementation, but will at least report correct times.	This is going to give some pretty inaccurate stats in high-activity systems.<br>We'll just lose a lot of times.<br>At least label it with SERVER-5026.<br>If you're willing to fix it now, so it doesn't underreport times when the system is heavily loaded, I'd implement an AtomicUint64 in bson/util/atomic_int.<br>h, give it an operator  , and be done with it.<br>It'll have the same cache performance problems as this implementation, but will at least report correct times.	2	-2	 This[0] is[0] going[0] to[0] give[0] some[0] pretty[2][-1 LastWordBoosterStrength] inaccurate[0] stats[0] in[0] high[0] activity[0] systems[0] [[Sentence=-1,2=word max, 1-5]] We'll[0] just[0] lose[-1][--1 LastWordBoosterStrength] a[0] lot[0] of[0] times[0] [[Sentence=-1,1=word max, 1-5]] At[0] least[0] label[0] it[0] with[0] SERVER[0] -5026[0] [[Sentence=-1,1=word max, 1-5]] If[0] you're[0] willing[0] to[0] fix[0] it[0] now[0] so[0] it[0] doesn't[0] underreport[0] times[0] when[0] the[0] system[0] is[0] heavily[0] loaded[0] I'd[0] implement[0] an[0] AtomicUint64[0] in[0] bson/util/atomic_int[0] [[Sentence=-1,1=word max, 1-5]] h[0] give[0] it[0] an[0] operator[0] and[0] be[0] done[0] with[0] it[0] [[Sentence=-1,1=word max, 1-5]] It'll[0] have[0] the[0] same[0] cache[0] performance[0] problems[-1] as[0] this[0] implementation[0] but[0] will[0] at[0] least[0] report[0] correct[0] times[0] [[Sentence=-2,1=word max, 1-5]][[[2,-2 max of sentences]]]
Call this "QLockTimingWrapper"?	Call this "QLockTimingWrapper"	1	-1	 Call[0] this[0] QLockTimingWrapper[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Why here is just  _query.isEmpty()  instead of  _query.getFilter().isEmpty()  ?Like here https://github.com/mongodb/mongo/commit/d3d719c3aa72d63fe838f1e5eae7098e3bffe721#L0R95	Why here is just  _query.<br>isEmpty(  instead of  _query.<br>getFilter(<br>isEmpty(  ?<br>Like here https://github.<br>com/mongodb/mongo/commit/d3d719c3a72d63fe838f1e5eae7098e3bffe721#L0R95	2	-1	 Why[0] here[0] is[0] just[0] _query[0] [[Sentence=-1,1=word max, 1-5]] isEmpty[0] instead[0] of[0] _query[0] [[Sentence=-1,1=word max, 1-5]] getFilter[0] [[Sentence=-1,1=word max, 1-5]] isEmpty[0] [[Sentence=-1,1=word max, 1-5]] Like[1] here[0] https[0] ://github[0] [[Sentence=-1,2=word max, 1-5]] com/mongodb/mongo/commit/d3d719c3aa72d63fe838f1e5eae7098e3bffe721#L0R95/com/mongodb/mongo/commit/d3d719c3a72d63fe838f1e5eae7098e3bffe721#L0R95[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
this test is redundant. maybe you meant ax...   bx... ?	this test is redundant.<br> maybe you meant ax.<br>   bx.<br> ?	1	-2	 this[0] test[0] is[0] redundant[-1] [[Sentence=-2,1=word max, 1-5]] maybe[0] you[0] meant[0] ax[0] [[Sentence=-1,1=word max, 1-5]] bx[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
