Body	Label	Score	Translation	Positive	Negative	EmotionRationale
Yeah.. you got me! :P	POSITIVE	0.9992994070053101	Yeah.<br> you got me!<br> !	2	-1	 Yeah[0] [[Sentence=-1,1=word max, 1-5]] you[0] got[0] me[0] [[Sentence=-1,1=word max, 1-5]][+1 Emoticon] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Fixed.	POSITIVE	0.974662184715271	Fixed.	1	-1	 Fixed[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
You should create a new class called  Field  for this as v8 really loves named constructors for hidden class optimizations. It also adds more structure to things, which I like.	POSITIVE	0.9962613582611084	You should create a new class called  Field  for this as v8 really loves named constructors for hidden class optimizations.<br> It also adds more structure to things, which I like.	4	-1	 You[0] should[0] create[0] a[0] new[0] class[0] called[0] Field[0] for[0] this[0] as[0] v8[0] really[0] loves[2][1 LastWordBoosterStrength] named[0] constructors[0] for[0] hidden[0] class[0] optimizations[0] [[Sentence=-1,4=word max, 1-5]] It[0] also[0] adds[0] more[0] structure[0] to[0] things[0] which[0] I[0] like[1] [[Sentence=-1,2=word max, 1-5]][[[4,-1 max of sentences]]]
:hammer: sweet!	POSITIVE	0.9997287392616272	:hammer: sweet!	2	-1	 hammer[0] sweet[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
No, thank you guys.That's an awesome turn around!Sorry for being absent in the earlier request for a use case.My particular use case was that I needed to get 3M rows of data out of Mysql and then pass it to another batch API.The data had to be chunked   1000 rows for the batch API.So i looped through keys (id   1000,id   1000   2000,etc).But with 3M rows and growing that's   3K queries that have to get queued up before any work starts and the foot print is more significant and not fixed.	NEGATIVE	0.999283492565155	No, thank you guys.<br>That's an awesome turn around!<br>Sorry for being absent in the earlier request for a use case.<br>My particular use case was that I needed to get 3M rows of data out of Mysql and then pass it to another batch API.<br>The data had to be chunked   100 rows for the batch API.<br>So i looped through keys (id   100,id   100   200,etc)<br>But with 3M rows and growing that's   3K queries that have to get queued up before any work starts and the foot print is more significant and not fixed.	3	-2	 No[0] thank[1] you[0] guys[0] [[Sentence=-1,2=word max, 1-5]] That's[0] an[0] awesome[2] turn[0] around[0] [[Sentence=-1,3=word max, 1-5]] Sorry[-1] for[0] being[0] absent[-1] in[0] the[0] earlier[0] request[0] for[0] a[0] use[0] case[0] [[Sentence=-2,1=word max, 1-5]] My[0] particular[0] use[0] case[0] was[0] that[0] I[0] needed[0] to[0] get[0] 3M[0] rows[0] of[0] data[0] out[0] of[0] Mysql[0] and[0] then[0] pass[0] it[0] to[0] another[0] batch[0] API[0] [[Sentence=-1,1=word max, 1-5]] The[0] data[0] had[0] to[0] be[0] chunked[0] 1000/100[0] rows[0] for[0] the[0] batch[0] API[0] [[Sentence=-1,1=word max, 1-5]] So[0] i[0] looped[0] through[0] keys[0] id[0] 1000/100[0] id[0] 1000/100[0] 2000/200[0] etc[0] [[Sentence=-1,1=word max, 1-5]] But[0] with[0] 3M[0] rows[0] and[0] growing[0] that's[0] 3K[0] queries[0] that[0] have[0] to[0] get[0] queued[0] up[0] before[0] any[0] work[0] starts[0] and[0] the[0] foot[0] print[0] is[0] more[0] significant[0] and[0] not[0] fixed[0] [[Sentence=-1,1=word max, 1-5]][[[3,-2 max of sentences]]]
:watermelon: lawlz	NEGATIVE	0.9457523226737976	:watermelon: lawlz	1	-1	 watermelon[0] lawlz[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
lol	NEGATIVE	0.9438177347183228	laugh out loud	2	-1	 lol[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
: 1:	POSITIVE	0.9945157170295715	: 1:	1	-1	 1[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
![Tabs](https://gimmebar-assets.s3.amazonaws.com/4d288c2806362.png)	NEGATIVE	0.9838466048240662	![Tabs](https://gimmebar-assets.<br>s3.<br>amazonaws.<br>com/4d288c2806362.<br>png)	1	-1	 ![Tabs][0] https[0] ://gimmebar[0] assets[0] [[Sentence=-1,1=word max, 1-5]] s3[0] [[Sentence=-1,1=word max, 1-5]] amazonaws[0] [[Sentence=-1,1=word max, 1-5]] com/4d288c2806362[0] [[Sentence=-1,1=word max, 1-5]] png[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
:heart:	POSITIVE	0.9998063445091248	:heart:	1	-1	 heart[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
: 1:	POSITIVE	0.9945157170295715	: 1:	1	-1	 1[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
No update on the Changes file?	NEGATIVE	0.9996131062507629	No update on the Changes file?	1	-1	 No[0] update[0] on[0] the[0] Changes[0] file[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Oops, that's my bad. First time bumping versions in this project. I will update the changes file.	NEGATIVE	0.9993739128112793	Oops, that's my bad.<br> First time bumping versions in this project.<br> I will update the changes file.	1	-2	 Oops[0] that's[0] my[0] bad[-1] [[Sentence=-2,1=word max, 1-5]] First[0] time[0] bumping[0] versions[0] in[0] this[0] project[0] [[Sentence=-1,1=word max, 1-5]] I[0] will[0] update[0] the[0] changes[0] file[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
It's just Pool, I bumped version before you 1 or 2 days :)	NEGATIVE	0.9971082210540771	It's just Pool, I bumped version before you 1 or 2 days days	2	-1	 It's[0] just[0] Pool[0] I[0] bumped[0] version[0] before[0] you[0] 1[0] or[0] 2[0] days[0][+1 Emoticon] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
@bhafer The only concern I have here is that your entire app shares a single connection, right?This means if you get 100 requests or have a couple people running some reports that take a bit process, your single DB connection could become a pretty big bottleneck, right?Any clever ways around this?	NEGATIVE	0.9991686940193176	@bhafer The only concern I have here is that your entire ap shares a single connection, right?<br>This means if you get 100 requests or have a couple people running some reports that take a bit process, your single DB connection could become a pretty big bottleneck, right?<br>Any clever ways around this?	3	-2	 @bhafer[0] The[0] only[0] concern[-1] I[0] have[0] here[0] is[0] that[0] your[0] entire[0] app/ap[0] shares[0] a[0] single[0] connection[0] right[0] [[Sentence=-2,1=word max, 1-5]] This[0] means[0] if[0] you[0] get[0] 100[0] requests[0] or[0] have[0] a[0] couple[0] people[0] running[0] some[0] reports[0] that[0] take[0] a[0] bit[0] process[0] your[0] single[0] DB[0] connection[0] could[0] become[0] a[0] pretty[2] big[0] bottleneck[0] right[0] [[Sentence=-1,3=word max, 1-5]] Any[0] clever[0] ways[0] around[0] this[0] [[Sentence=-1,1=word max, 1-5]][[[3,-2 max of sentences]]]
@anthonywebb you would need to use a pool of connections or make a new connection for each request, whichever is better for your use-case.	NEGATIVE	0.9989466071128845	@anthonywebb you would need to use a pool of connections or make a new connection for each request, whichever is better for your use-case.	1	-1	 @anthonywebb[0] you[0] would[0] need[0] to[0] use[0] a[0] pool[0] of[0] connections[0] or[0] make[0] a[0] new[0] connection[0] for[0] each[0] request[0] whichever[0] is[0] better[0] for[0] your[0] use[0] case[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
@dougwilson do yo know of anyone who is doing something like that above with the new pool support that was added?I've been looking at the pool stuff but am not wild about having to manually release the connection each time a db call is complete, feels like that should just happen in the background automatically?	NEGATIVE	0.9989916682243347	@dougwilson do yo know of anyone who is doing something like that above with the new pool support that was added?<br>I've been looking at the pool stuff but am not wild about having to manually release the connection each time a db call is complete, feels like that should just happen in the background automatically?	2	-1	 @dougwilson[0] do[0] yo[0] know[0] of[0] anyone[0] who[0] is[0] doing[0] something[0] like[1] that[0] above[0] with[0] the[0] new[0] pool[0] support[1] that[0] was[0] added[0] [[Sentence=-1,2=word max, 1-5]] I've[0] been[0] looking[0] at[0] the[0] pool[0] stuff[0] but[0] am[0] not[0] wild[0] about[0] having[0] to[0] manually[0] release[0] the[0] connection[0] each[0] time[0] a[0] db[0] call[0] is[0] complete[0] feels[0] like[1] that[0] should[0] just[0] happen[0] in[0] the[0] background[0] automatically[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
@anthonywebb I updated my comment above with a function that will run a single query from the new built-in pool where you don't have to worry about returning anything to the pool. Just note cavets about doing something like this you cannot use transactions and other session state (the save cavets apply to  node-mysql-pool  there, so I guess you won't see anything different).	NEGATIVE	0.9831188917160034	@anthonywebb I updated my comment above with a function that will run a single query from the new built-in pool where you don't have to worry about returning anything to the pool.<br> Just note cavets about doing something like this you cannot use transactions and other session state (the save cavets apply to  node-mysql-pool  there, so I guess you won't see anything different)	2	-4	 @anthonywebb[0] I[0] updated[0] my[0] comment[0] above[0] with[0] a[0] function[0] that[0] will[0] run[0] a[0] single[0] query[0] from[0] the[0] new[0] built[0] in[0] pool[0] where[0] you[0] don't[0] have[0] to[0] worry[-3] about[0] returning[0] anything[0] to[0] the[0] pool[0] [[Sentence=-4,1=word max, 1-5]] Just[0] note[0] cavets[0] about[0] doing[0] something[0] like[1] this[0] you[0] cannot[0] use[0] transactions[0] and[0] other[0] session[0] state[0] the[0] save[1] cavets[0] apply[0] to[0] node[0] mysql[0] pool[0] there[0] so[0] I[0] guess[0] you[0] won't[0] see[0] anything[0] different[0] [[Sentence=-1,2=word max, 1-5]][[[2,-4 max of sentences]]]
The main reason the example in the README does not work is because  connection   mysql.createConnection(connection.config);  does nothing.  connection  is not the global connection variable, as expected in the example, rather it is the name of the first argument of  handleDisconnect .	NEGATIVE	0.9997112154960632	The main reason the example in the README does not work is because  connection   mysql.<br>createConnection(connection.<br>config)  does nothing.<br>  connection  is not the global connection variable, as expected in the example, rather it is the name of the first argument of  handleDisconnect .	1	-2	 The[0] main[0] reason[0] the[0] example[0] in[0] the[0] README[0] does[0] not[0] work[0] is[0] because[0] connection[0] mysql[0] [[Sentence=-1,1=word max, 1-5]] createConnection[0] connection[0] [[Sentence=-1,1=word max, 1-5]] config[0] does[0] nothing[0] [[Sentence=-1,1=word max, 1-5]] connection[0] is[0] not[0] the[0] global[0] connection[0] variable[0] as[0] expected[0] in[0] the[0] example[0] rather[0] it[0] is[0] the[0] name[0] of[0] the[0] first[0] argument[-1] of[0] handleDisconnect[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
An added benefit of registering the connection object inside the query object is the ability to close it directly within the query callback.This raises a question whether the connection object reference should be declared with an underscore or not.    jsmysql.createConnection(options).query(sqlTxt,function(err,d) {process(err,d);this._connection.end();});   	NEGATIVE	0.9113093614578247	An added benefit of registering the connection object inside the query object is the ability to close it directly within the query callback.<br>This raises a question whether the connection object reference should be declared with an underscore or not.<br>    jsmysql.<br>createConnection(options)<br>query(sqlTxt,function(er,d) {process(er,d)this._connection.<br>end();})  	1	-1	 An[0] added[0] benefit[0] of[0] registering[0] the[0] connection[0] object[0] inside[0] the[0] query[0] object[0] is[0] the[0] ability[0] to[0] close[0] it[0] directly[0] within[0] the[0] query[0] callback[0] [[Sentence=-1,1=word max, 1-5]] This[0] raises[0] a[0] question[0] whether[0] the[0] connection[0] object[0] reference[0] should[0] be[0] declared[0] with[0] an[0] underscore[0] or[0] not[0] [[Sentence=-1,1=word max, 1-5]] jsmysql[0] [[Sentence=-1,1=word max, 1-5]] createConnection[0] options[0] [[Sentence=-1,1=word max, 1-5]] query[0] sqlTxt[0] function[0] err/er[0] d[0] {process[0] err/er[0] d[0] this[0] ._connection[0] [[Sentence=-1,1=word max, 1-5]] end[0] ();}[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
I agree it can get handy and also agree that if you want to expose it in the callback remove the underscore because it's not something "internal".	NEGATIVE	0.8530386090278625	I agree it can get handy and also agree that if you want to expose it in the callback remove the underscore because it's not something "internal"	1	-2	 I[0] agree[0] it[0] can[0] get[0] handy[0] and[0] also[0] agree[0] that[0] if[0] you[0] want[0] to[0] expose[-1] it[0] in[0] the[0] callback[0] remove[0] the[0] underscore[0] because[0] it's[0] not[0] something[0] internal[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
This is breaking lots of code for us, we now have to check if each date column actually returns a date object or not :(	NEGATIVE	0.9986563920974731	This is breaking lots of code for us, we now have to check if each date column actually returns a date object or not not	1	-2	 This[0] is[0] breaking[0] lots[0] of[0] code[0] for[0] us[0] we[0] now[0] have[0] to[0] check[0] if[0] each[0] date[0] column[0] actually[0] returns[0] a[0] date[0] object[0] or[0] not[0][-1 Emoticon] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
This should only happen on invalid dates. How did you treat invalid dates before?	NEGATIVE	0.9993448257446289	This should only happen on invalid dates.<br> How did you treat invalid dates before?	2	-2	 This[0] should[0] only[0] happen[0] on[0] invalid[-1] dates[0] [[Sentence=-2,1=word max, 1-5]] How[0] did[0] you[0] treat[1] invalid[-1] dates[0] before[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
Yay :palm_tree:	POSITIVE	0.7426583766937256	Yay :palm_tree:	2	-1	 Yay[1] palm_tree[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
:) thanks for the catch @dougwilson	POSITIVE	0.9987611174583435	 thanks for the catch @dougwilson	2	-1	[+1 Emoticon] thanks[1] for[0] the[0] catch[0] @dougwilson[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
This is sync? I thought this had to be async :)	NEGATIVE	0.9892633557319641	This is sync?<br> I thought this had to be async async	2	-1	 This[0] is[0] sync[0] [[Sentence=-1,1=word max, 1-5]] I[0] thought[0] this[0] had[0] to[0] be[0] async[0][+1 Emoticon] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
It's magic! Basically the statement is not prepared yet when the  prepare()  function returns, this happens async in the background. However, you can already call query() on the returned statement, and the actual query will execute once the prepare is done. If the prepare has an error, the error goes to the query.Not sure if this is the right / perfect API, but it seemed to fit well with how the lib is working so far. What ya think?	NEGATIVE	0.5357592701911926	It's magic!<br> Basically the statement is not prepared yet when the  prepare(  function returns, this happens async in the background.<br> However, you can already call query( on the returned statement, and the actual query will execute once the prepare is done.<br> If the prepare has an error, the error goes to the query.<br>Not sure if this is the right / perfect API, but it seemed to fit well with how the lib is working so far.<br> What ya think?	2	-2	 It's[0] magic[0] [[Sentence=-1,1=word max, 1-5]] Basically[0] the[0] statement[0] is[0] not[0] prepared[0] yet[0] when[0] the[0] prepare[0] function[0] returns[0] this[0] happens[0] async[0] in[0] the[0] background[0] [[Sentence=-1,1=word max, 1-5]] However[0] you[0] can[0] already[0] call[0] query[0] on[0] the[0] returned[0] statement[0] and[0] the[0] actual[0] query[0] will[0] execute[-1] once[0] the[0] prepare[0] is[0] done[0] [[Sentence=-2,1=word max, 1-5]] If[0] the[0] prepare[0] has[0] an[0] error[-1] the[0] error[-1] goes[0] to[0] the[0] query[0] [[Sentence=-2,1=word max, 1-5]] Not[0] sure[0] if[0] this[0] is[0] the[0] right[0] /[0] perfect[1] API[0] but[0] it[0] seemed[0] to[0] fit[0] well[0] with[0] how[0] the[0] lib[0] is[0] working[0] so[0] far[0] [[Sentence=-1,2=word max, 1-5]] What[0] ya[0] think[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]
I love it, no need to add another level, just call prepare and query right after :)	POSITIVE	0.9998003840446472	I love it, no need to add another level, just call prepare and query right after after	3	-1	 I[0] love[2] it[0] no[0] need[0] to[0] add[0] another[0] level[0] just[0] call[0] prepare[0] and[0] query[0] right[0] after[0][+1 Emoticon] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Build failing since this commit.	NEGATIVE	0.9997910857200623	Build failing since this commit.	1	-3	 Build[0] failing[-2] since[0] this[0] commit[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
Has the fix been included in a build and if so what is the earliest version it was included in? I'm running v0.10.21 and	NEGATIVE	0.9994203448295593	Has the fix been included in a build and if so what is the earliest version it was included in?<br> I'm running v0.10.21 and	1	-1	 Has[0] the[0] fix[0] been[0] included[0] in[0] a[0] build[0] and[0] if[0] so[0] what[0] is[0] the[0] earliest[0] version[0] it[0] was[0] included[0] in[0] [[Sentence=-1,1=word max, 1-5]] I'm[0] running[0] v0[0] .10[0] .21[0] and[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
It's included in 2.0.0-alpha9	NEGATIVE	0.9551977515220642	It's included in 2.0.0-alpha9	1	-1	 It's[0] included[0] in[0] 2[0] .0[0] .0[0] alpha9[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
: 1:	POSITIVE	0.9945157170295715	: 1:	1	-1	 1[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Congratulations guys!PS: don't forget to update changelog please :)	POSITIVE	0.9996092915534973	Congratulations guys!<br>PS: don't forget to update changelog please please	3	-1	 Congratulations[2] guys[0] [[Sentence=-1,3=word max, 1-5]] PS[0] don't[0] forget[0] to[0] update[0] changelog[0] please[1][+1 Emoticon] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Thanks! (me updating changelog)	POSITIVE	0.9994865655899048	Thanks!<br> (me updating changelog)	2	-1	 Thanks[1] [[Sentence=-1,2=word max, 1-5]] me[0] updating[0] changelog[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
Thanks guys, i am waiting for this release..	POSITIVE	0.9895303845405579	Thanks guys, i am waiting for this release.	2	-1	 Thanks[1] guys[0] i[0] am[0] waiting[0] for[0] this[0] release[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
AFAIK this can be moved down to line 69, as everything above there will keep the domain (due to either core support, or  Connection  support). This would be prevent a double-bind on all the non-queued cases that way.	NEGATIVE	0.98626309633255	AFAIK this can be moved down to line 69, as everything above there will keep the domain (due to either core support, or  Connection  support)<br> This would be prevent a double-bind on all the non-queued cases that way.	2	-1	 AFAIK[0] this[0] can[0] be[0] moved[0] down[0] to[0] line[0] 69[0] as[0] everything[0] above[0] there[0] will[0] keep[0] the[0] domain[0] due[0] to[0] either[0] core[0] support[1] or[0] Connection[0] support[1] [[Sentence=-1,2=word max, 1-5]] This[0] would[0] be[0] prevent[0] a[0] double[0] bind[0] on[0] all[0] the[0] non[0] queued[0] cases[0] that[0] way[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
ok sounds right to me	POSITIVE	0.9997910261154175	ok sounds right to me	1	-1	 ok[0] sounds[0] right[0] to[0] me[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
This means it's no longer possible to override  createConnection , although it's still specified in the documentation as working:https://github.com/felixge/node-mysql#pool-options-[Unknown]	NEGATIVE	0.9994542598724365	This means it's no longer possible to override  createConnection , although it's still specified in the documentation as working:https://github.<br>com/felixge/node-mysql#pool-options-[Unknown]	1	-1	 This[0] means[0] it's[0] no[0] longer[0] possible[0] to[0] override[0] createConnection[0] although[0] it's[0] still[0] specified[0] in[0] the[0] documentation[0] as[0] working[0] https[0] ://github[0] [[Sentence=-1,1=word max, 1-5]] com/felixge/node[0] mysql#pool[0] options[0] -[Unknown][0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Thank you, this has been removed from the documentation.	NEGATIVE	0.9970868825912476	Thank you, this has been removed from the documentation.	2	-1	 Thank[1] you[0] this[0] has[0] been[0] removed[0] from[0] the[0] documentation[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
createSecurePair is deprecated in v0.11.x.You're probably better off just doing something like this for v0.10  instead:    javascriptvar wrappedSock   tls.connect({key: this.config.ssl.key,cert: this.config.ssl.cert,passphrase: this.config.ssl.passphrase,ca: this.config.ssl.ca,socket: this._socket}, onSecure);wrappedSock.pipe(this._protocol);// write to wrappedSock and not this._socket from here on out ...   	NEGATIVE	0.9994959235191345	createSecurePair is deprecated in v0.11.<br>x.<br>You're probably better off just doing something like this for v0.10  instead:    javascriptvar wrappedSock   tls.<br>connect({key: this.<br>config.<br>ssl.<br>key,cert: this.<br>config.<br>ssl.<br>cert,passphrase: this.<br>config.<br>ssl.<br>passphrase,ca: this.<br>config.<br>ssl.<br>ca,socket: this._socket}, onSecure)wrappedSock.<br>pipe(this._protocol);// write to wrappedSock and not this._socket from here on out .<br>  	2	-1	 createSecurePair[0] is[0] deprecated[0] in[0] v0[0] .11[0] [[Sentence=-1,1=word max, 1-5]] x[1] [[Sentence=-1,2=word max, 1-5]] You're[0] probably[0] better[0] off[0] just[0] doing[0] something[0] like[1] this[0] for[0] v0[0] .10[0] instead[0] javascriptvar[0] wrappedSock[0] tls[0] [[Sentence=-1,2=word max, 1-5]] connect[0] ({key[0] this[0] [[Sentence=-1,1=word max, 1-5]] config[0] [[Sentence=-1,1=word max, 1-5]] ssl[0] [[Sentence=-1,1=word max, 1-5]] key[0] cert[0] this[0] [[Sentence=-1,1=word max, 1-5]] config[0] [[Sentence=-1,1=word max, 1-5]] ssl[0] [[Sentence=-1,1=word max, 1-5]] cert[0] passphrase[0] this[0] [[Sentence=-1,1=word max, 1-5]] config[0] [[Sentence=-1,1=word max, 1-5]] ssl[0] [[Sentence=-1,1=word max, 1-5]] passphrase[0] ca[0] this[0] [[Sentence=-1,1=word max, 1-5]] config[0] [[Sentence=-1,1=word max, 1-5]] ssl[0] [[Sentence=-1,1=word max, 1-5]] ca[0] socket[0] this[0] ._socket}[0] onSecure[0] wrappedSock[0] [[Sentence=-1,1=word max, 1-5]] pipe[0] this[0] ._protocol[0] );//[0] write[0] to[0] wrappedSock[0] and[0] not[0] this[0] ._socket[0] from[0] here[0] on[0] out[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
Thanks, I'll try this! (also in node-mysql2 as the code is the same)	POSITIVE	0.9881325960159302	Thanks, I'll try this!<br> (also in node-mysql2 as the code is the same)	2	-1	 Thanks[1] I'll[0] try[0] this[0] [[Sentence=-1,2=word max, 1-5]] also[0] in[0] node[0] mysql2[0] as[0] the[0] code[0] is[0] the[0] same[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
created issue for this - https://github.com/felixge/node-mysql/issues/737	NEGATIVE	0.994354784488678	created issue for this - https://github.<br>com/felixge/node-mysql/issues/737	1	-1	 created[0] issue[0] for[0] this[0] https[0] ://github[0] [[Sentence=-1,1=word max, 1-5]] com/felixge/node[0] mysql/issues/737[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Why is this custom startTLS code necessary? Why not just use  tls.connect({ socket: this._socket, ... }, onSecure);  to upgrade the socket? That functionality exists even in v0.8.x. It should work for v0.11  as well.	NEGATIVE	0.9960659742355347	Why is this custom startTLS code necessary?<br> Why not just use  tls.<br>connect({ socket: this._socket, .<br> }, onSecure)  to upgrade the socket?<br> That functionality exists even in v0.8.<br>x.<br> It should work for v0.11  as well.	2	-1	 Why[0] is[0] this[0] custom[0] startTLS[0] code[0] necessary[0] [[Sentence=-1,1=word max, 1-5]] Why[0] not[0] just[0] use[0] tls[0] [[Sentence=-1,1=word max, 1-5]] connect[0] ({[0] socket[0] this[0] ._socket[0] [[Sentence=-1,1=word max, 1-5]] }[0] onSecure[0] to[0] upgrade[0] the[0] socket[0] [[Sentence=-1,1=word max, 1-5]] That[0] functionality[0] exists[0] even[0] in[0] v0[0] .8[0] [[Sentence=-1,1=word max, 1-5]] x[1] [[Sentence=-1,2=word max, 1-5]] It[0] should[0] work[0] for[0] v0[0] .11[0] as[0] well[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
This was just an extension of the code that was contributed ;) I'll look into replacing it with  tls.connect .	NEGATIVE	0.9993691444396973	This was just an extension of the code that was contributed contributed I'll look into replacing it with  tls.<br>connect .	1	-1	 This[0] was[0] just[0] an[0] extension[0] of[0] the[0] code[0] that[0] was[0] contributed[0] I'll[0] look[0] into[0] replacing[0] it[0] with[0] tls[0] [[Sentence=-1,1=word max, 1-5]] connect[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
P.S. A PR is always welcome!	POSITIVE	0.9998204708099365	P.<br>S.<br> A PR is always welcome!	2	-1	 P[0] [[Sentence=-1,1=word max, 1-5]] S[0] [[Sentence=-1,1=word max, 1-5]] A[0] PR[0] is[0] always[0] welcome[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
@mscdex nevermind, I have already swapped it to  tls.connect  on my local machine! I see a "wrinkle" right now in that  tls.connect  will verify the hostname on the certificate; I need to research to see if this is a valid default or not for MySQL servers.	NEGATIVE	0.9986193180084229	@mscdex nevermind, I have already swapped it to  tls.<br>connect  on my local machine!<br> I see a "wrinkle" right now in that  tls.<br>connect  will verify the hostname on the certificate; I need to research to see if this is a valid default or not for MySQL servers.	1	-2	 @mscdex[0] nevermind[0] I[0] have[0] already[0] swapped[0] it[0] to[0] tls[0] [[Sentence=-1,1=word max, 1-5]] connect[0] on[0] my[0] local[0] machine[0] [[Sentence=-1,1=word max, 1-5]] I[0] see[0] a[0] wrinkle[-1] right[0] now[0] in[0] that[0] tls[0] [[Sentence=-2,1=word max, 1-5]] connect[0] will[0] verify[0] the[0] hostname[0] on[0] the[0] certificate[0] I[0] need[0] to[0] research[0] to[0] see[0] if[0] this[0] is[0] a[0] valid[0] default[-1] or[0] not[0] for[0] MySQL[0] servers[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
Looks like no MySQL hosts out there support hostname verification by default (perhaps people's own setups may, but not third-party services). Unfortunately  tls.connect  has no way to opt into certificate verification without CN/SAN verification...	NEGATIVE	0.9997050762176514	Looks like no MySQL hosts out there support hostname verification by default (perhaps people's own setups may, but not third-party services)<br> Unfortunately  tls.<br>connect  has no way to opt into certificate verification without CN/SAN verification.	2	-2	 Looks[0] like[1] no[0] MySQL[0] hosts[0] out[0] there[0] support[1] hostname[0] verification[0] by[0] default[-1] perhaps[0] people's[0] own[0] setups[0] may[0] but[0] not[0] third[0] party[0] services[0] [[Sentence=-2,2=word max, 1-5]] Unfortunately[-1] tls[0] [[Sentence=-2,1=word max, 1-5]] connect[0] has[0] no[0] way[0] to[0] opt[0] into[0] certificate[0] verification[0] without[0] CN/SAN[0] verification[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]
This will be an endlessly moving target; there is no version declaration.	NEGATIVE	0.9942914843559265	This will be an endlessly moving target; there is no version declaration.	1	-1	 This[0] will[0] be[0] an[0] endlessly[0] moving[0] target[0] there[0] is[0] no[0] version[0] declaration[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
oops, already pushed to master. I'll change to 1.2	NEGATIVE	0.829147219657898	oops, already pushed to master.<br> I'll change to 1.2	1	-1	 oops[0] already[0] pushed[0] to[0] master[0] [[Sentence=-1,1=word max, 1-5]] I'll[0] change[0] to[0] 1[0] .2[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
I have reverted this commit until you can declare which versions of io.js are actually supported and we don't suddenly start failing when 2.0 comes out, which this commit will cause.	NEGATIVE	0.9820851683616638	I have reverted this commit until you can declare which versions of io.<br>js are actually supported and we don't suddenly start failing when 2.0 comes out, which this commit will cause.	2	-3	 I[0] have[0] reverted[-1] this[0] commit[0] until[0] you[0] can[0] declare[0] which[0] versions[0] of[0] io[0] [[Sentence=-2,1=word max, 1-5]] js[0] are[0] actually[0] supported[1] and[0] we[0] don't[0] suddenly[0] start[0] failing[-2] when[0] 2[0] .0[0] comes[0] out[0] which[0] this[0] commit[0] will[0] cause[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
